Property Name,Property Location
Townhomes at Bridlestone,Ballantyne
Camden Stonecrest,Ballantyne
The Sawyer Providence Farm,Ballantyne
Novel Ballantyne,Ballantyne
Towerview Ballantyne,Ballantyne
Reverie Belmont,Belmont
Evolve At Parkway,Concord
Madison Farms,Concord
Novi Rise,Concord
Legacy Cornelius,Cornelius
Camden Dilworth,Dilworth
Lincoln at Dilworth,Dilworth
1010 Dilworth,Dilworth
Hanover Dilworth,Dilworth
Enclave at Radius,Dilworth
Lincoln at Dilworth,Dilworth
Lexington Dilworth,Dilworth
Solis Midtown,Dilworth
Towns at Eastland,East Charlotte (Eastland)
Magnolia Heights,East Charlotte (Wendover-Sedgewood)
Palmetto Place,Fort Mill
Beckett Farms,Fort Mill
Fox Hunt Farms,Fort Mill
Trenton Mill Lofts,Gastonia
Redwood Charlotte Harris Houston Road,Harrisburg
Hawthorne at Westport,Huntersville
Holly Crest,Huntersville
The Court at Redstone,Indian Land
The Indigo at Cross Creek,Indian Land
Amavi Sherrills Ford,Lake Norman (Sherrills Ford)
Ellison Mallard Creek,Mallard Creek
Novel Mallard Creek,Mallard Creek
ABODE at Parkside,Mallard Creek / Prosperity
Briley,Matthews
Alta Harris Farms,Mooresville
The Parian Mooresville,Mooresville
Abode at Rieds Cove,Mooresville
Alta West Morehead,Near Uptown (Ashley Park)
511 Queens,Near Uptown (Midtown)
Midtown 205,Near Uptown (Midtown)
Broadstone,Near Uptown (Optimist Park)
Joinery,Near Uptown (Optimist Park)
Alexan Mill District,Near Uptown (Optimist Park)
Arlo,Near Uptown (Wesley Heights)
Bowery West,Near Uptown (Westover Hills)
Bowery West,Near Uptown (Westover Hills)
Matheson Mill by Broadstone,NODA
Trailside,NODA
Link Apartments NoDa,NODA
NoDa Wandry,NODA
Inkwell,NODA
Reve Noda Junction,NODA
Crossing at NODA,NODA
Yards at NODA,NODA
NODA Flats,NODA
Nevin Place,North Charlotte (Derita)
Cascadia at Highland Creek,North Charlotte (Highland Creek)
Kinship at Camp,North End
Pine 25,North End
The Henry,North End
Affinity at Oak Hills,North West Charlotte (Mountain Island)
Oak Lake Townhomes,North West Charlotte (Mountain Island)
Proximity North Lake,Northlake
The Village at Commonwealth,Plaza Midwood
Eilzabeth Square,Plaza Midwood
The Gibson,Plaza Midwood
Elan Prosperity,Prosperity / University
Marlowe Place,South Charlotte (Montclaire South)
Selwyn Flats,South Charlotte (Montford)
Link Apartments Montford,South Charlotte (Montford)
Providence Row,South East Charlotte (Providence Park)
The Boulevard,South End
Camden Southline,South End
Bradham,South End
Kingston South End,South End
The Edge South End,South End
Raven South End,South End
Fountains Southend,South End
South & Hollis,South End
AVA SouthEnd,South End
Ashton South End,South End
704 at the Quarter,South End
The Prospect,South End
Avalon South End,South End
The Winnifred,South End
The Boulevard a Broadstone Community,South End
Link Apartments Mint Street,South End
The Paces South End,South End
The Atherton,South End
Hawkins Press,South End
The Sloan at LoSo,South End (LoSo)
Queen City Townes,South End (LoSo)
Elan LoSo,South End (LoSo)
The Artizia at LoSo,South End (LoSo)
Ello House,South End (LoSo)
Solis Loso,South End (LoSo)
Camden Fox Croft,South Park
Tindall Park,South Park
Hazel Southpark,South Park
Element South Park,South Park
Building,Southend
Wayford at Pringle Towns,Steele Creek
Zora University Homes,University
Mason,University
The Wayford at Innovation Park,University
The Kendry,University
Verde at McCulough Station,University
NOVEL University,University
Wellen,University
Alexan Research Park,University
Prose,University
Elan Research Park,University
Spire Apartments,University / Harrisburg
Camden Grandview,Uptown
Crest Gateway,Uptown
Uptown 550,Uptown
1100 South,Uptown
Savoy NC,Uptown
The Francis,Uptown
Presley Uptown,Uptown
Catalyst,Uptown
The Mint 425,Uptown
500 West Trade,Uptown
Ascent Uptown,Uptown
The Reed,Uptown
Catalyst,Uptown
Gateway West Luxury,Uptown
The Vue Charlotte on 5th,Uptown
Varick on 7th,Uptown
ABODE at Greenway,West Charlotte (Smallwood)
Charlotte Exchange,South End (LoSo)
Vera at Savona Mill,Near Uptown (Wesley Heights)